,Temperature (F),Humidity (%),"Pressure (""Hg)"
0,27,0.74,30.20 
1,31,0.76,30.16 
2,37,0.63,30.10 
3,42,0.61,30.04 
4,66,0.68,29.94 
5,71,0.75,29.89 
6,77,0.66,30.01 
7,77,0.71,29.96 
8,70,0.69,30.07 
9,54,0.7,30.03 
10,36,0.71,30.08 
11,34,0.78,30.06 
12,23,0.74,30.14 
13,29,0.72,30.08 
14,42,0.66,29.99 
15,56,0.56,29.91 
16,63,0.63,29.96 
17,72,0.68,29.90 
18,78,0.63,29.94 
19,77,0.64,29.94 
20,66,0.62,29.96 
21,57,0.57,29.99 
22,43,0.63,30.05 
23,26,0.74,30.10 
24,23,0.68,30.07 
25,28,0.7,30.05 
26,38,0.68,30.12 
27,49,0.7,29.83 
28,59,0.69,29.90 
29,71,0.65,29.89 
30,80,0.62,29.92 
31,74,0.67,29.89 
32,63,0.69,29.98 
33,56,0.64,30.00 
34,45,0.69,30.00 
35,36,0.73,30.13 
36,31,0.71,30.00 
37,33,0.72,30.10 
38,54,0.62,29.99 
39,51,0.58,30.01 
40,66,0.56,29.95 
41,75,0.51,29.92 
42,82,0.57,29.93 
43,75,0.57,29.95 
44,66,0.6,30.00 
45,53,0.63,29.95 
46,42,0.62,30.19 
47,38,0.72,30.00 
48,28,0.67,30.14 
49,28,0.7,30.02 
50,34,0.64,30.08 
51,48,0.62,30.00 
52,63,0.6,29.96 
53,69,0.64,29.90 
54,75,0.62,30.00 
55,74,0.61,30.02 
56,69,0.62,30.00 
57,55,0.68,30.00 
58,39,0.67,30.18 
59,25,0.76,30.13 
60,18,0.73,30.04 
61,19,0.67,30.13 
62,32,0.66,30.09 
63,50,0.6,29.94 
64,63,0.61,29.97 
65,73,0.67,29.90 
66,73,0.62,29.96 
67,75,0.7,29.96 
68,66,0.68,30.07 
69,55,0.67,29.92 
70,37,0.64,30.05 
71,35,0.73,30.21 
72,25,0.72,30.19 
73,19,0.65,30.22 
74,38,0.61,30.18 
75,52,0.56,29.96 
76,63,0.65,30.06 
77,70,0.72,29.92 
78,75,0.62,29.92 
79,74,0.63,29.96 
80,71,0.64,30.03 
81,57,0.61,30.06 
82,47,0.64,30.10 
83,41,0.74,29.99 
84,27,0.67,30.06 
85,32,0.63,30.04 
86,45,0.66,29.97 
87,50,0.59,30.02 
88,62,0.57,29.98 
89,74,0.56,29.94 
90,77,0.65,29.95 
91,78,0.67,29.98 
92,72,0.65,30.03 
93,59,0.68,30.08 
94,49,0.67,30.09 
95,28,0.7,30.16 
96,31,0.74,30.00 
97,40,0.63,29.93 
98,40,0.67,30.15 
99,54,0.65,29.93 
100,59,0.66,29.85 
101,74,0.58,29.87 
102,76,0.67,29.97 
103,72,0.66,29.99 
104,70,0.61,30.03 
105,58,0.72,29.98 
106,42,0.71,30.08 
107,28,0.66,30.12 