,Temperature (F) ,Humidity (%),Pressure ('Hg)
0,60,0.59,30.07
1,58,0.53,30.04
2,59,0.71,30.03
3,62,0.64,29.99
4,63,0.7,29.95
5,68,0.7,29.88
6,77,0.65,29.92
7,76,0.68,29.91
8,71,0.71,29.87
9,69,0.66,29.9
10,63,0.61,30
11,58,0.64,30.05
12,59,0.59,29.96
13,59,0.67,29.95
14,62,0.55,30.01
15,61,0.6,29.96
16,64,0.62,29.95
17,68,0.68,29.92
18,70,0.66,29.89
19,71,0.61,29.87
20,71,0.61,29.85
21,68,0.66,30
22,60,0.55,30.05
23,57,0.71,30.01
24,59,0.53,30.06
25,55,0.62,30.07
26,58,0.68,30.04
27,63,0.61,29.97
28,63,0.61,29.95
29,65,0.7,29.9
30,70,0.69,29.87
31,70,0.69,29.88
32,68,0.74,29.91
33,65,0.68,29.95
34,59,0.62,30.02
35,54,0.56,30.09
36,58,0.56,30.1
37,57,0.61,30.03
38,57,0.64,30.02
39,61,0.65,29.97
40,64,0.71,29.91
41,66,0.69,29.88
42,68,0.7,29.92
43,74,0.64,29.85
44,74,0.64,29.91
45,69,0.62,29.94
46,61,0.67,30.06
47,56,0.71,30.04
48,55,0.46,30.11
49,56,0.55,30.08
50,60,0.69,30.02
51,62,0.62,29.96
52,67,0.64,29.93
53,69,0.69,29.88
54,70,0.71,29.91
55,70,0.68,29.9
56,71,0.63,29.83
57,65,0.63,29.94
58,63,0.59,29.99
59,57,0.5,30.07
60,60,0.56,30.06
61,59,0.67,30
62,62,0.66,30.01
63,64,0.6,29.96
64,69,0.54,29.93
65,67,0.72,29.86
66,73,0.69,29.93
67,73,0.67,29.91
68,75,0.64,29.82
69,71,0.64,29.91
70,65,0.52,30.03
71,58,0.66,30.04
72,60,0.58,30.08
73,62,0.64,30.02
74,66,0.57,30.01
75,65,0.57,29.94
76,63,0.69,29.94
77,69,0.71,29.87
78,72,0.71,29.92
79,75,0.66,29.89
80,77,0.62,29.84
81,74,0.6,29.88
82,62,0.4,29.99
83,56,0.5,30.04
84,57,0.68,30.07
85,63,0.5,30.06
86,62,0.67,29.99
87,65,0.59,29.96
88,63,0.71,29.94
89,70,0.69,29.91
90,73,0.68,29.91
91,71,0.71,29.89
92,72,0.65,29.92
93,68,0.67,29.95
94,64,0.56,30.01
95,58,0.62,30.05
96,56,0.72,30.06
97,59,0.76,30.03
98,64,0.59,30.04
99,66,0.57,29.96
100,65,0.66,29.91
101,69,0.7,29.87
102,74,0.69,29.92
103,74,0.69,29.88
104,73,0.65,29.86
105,72,0.56,29.89
106,65,0.63,30.01
107,59,0.48,30.08